time,BTCUSDT,ETHUSDT,LTCUSDT,DOTUSDT,MATICUSDT,SOLUSDT,ETCUSDT,ALGOUSDT,BNBUSDT,ADAUSDT,AVAXUSDT,SUIUSDT,NEARUSDT,HBARUSDT,APTUSDT
2020-01-01 00:00:00+00:00,7195.65,130.52,41.53,,,,4.535,,13.6954,0.03346,,,,,
2020-01-02 00:00:00+00:00,6961.8,127.22,39.44,,,,4.2373,,13.0225,0.03272,,,,,
2020-01-03 00:00:00+00:00,7345.65,133.95,42.05,,,,4.5539,,13.6231,0.03403,,,,,
2020-01-04 00:00:00+00:00,7349.45,134.02,42.58,,,,4.7631,,13.7944,0.03441,,,,,
2020-01-05 00:00:00+00:00,7364.19,135.23,43.26,,,,4.8606,,14.0368,0.03455,,,,,
2020-01-06 00:00:00+00:00,7777.53,143.98,45.7,,,,5.0291,,14.9329,0.03723,,,,,
2020-01-07 00:00:00+00:00,8174.34,142.89,46.33,,,,4.8401,,15.0182,0.03704,,,,,
2020-01-08 00:00:00+00:00,8051.97,140.89,45.4,,,,4.9475,,14.5694,0.03641,,,,,
2020-01-09 00:00:00+00:00,7824.32,138.08,44.82,,,,5.1862,,14.4165,0.03615,,,,,
2020-01-10 00:00:00+00:00,8195.0,144.32,49.07,,,,5.3623,,15.0422,0.03688,,,,,
2020-01-11 00:00:00+00:00,8026.42,142.74,49.52,,,,5.5921,,14.9509,0.03676,,,,,
2020-01-12 00:00:00+00:00,8185.42,146.07,51.47,,,,5.5676,,15.2986,0.03772,,,,,
2020-01-13 00:00:00+00:00,8102.27,143.9,49.64,,,,5.4784,,15.1852,0.03695,,,,,
2020-01-14 00:00:00+00:00,8847.12,166.38,58.51,,,,6.8075,,16.6507,0.04179,,,,,
2020-01-15 00:00:00+00:00,8817.79,165.91,57.95,,,,7.9363,,17.6664,0.04258,,,,,
2020-01-16 00:00:00+00:00,8730.0,164.43,57.68,,,,8.4474,,17.0525,0.04139,,,,,
2020-01-17 00:00:00+00:00,8915.59,170.21,61.24,,,,9.5958,,18.1047,0.04534,,,,,
2020-01-18 00:00:00+00:00,8917.29,174.19,59.23,,,,8.4608,,17.7973,0.04496,,,,,
2020-01-19 00:00:00+00:00,8718.51,166.83,57.68,,,,8.2951,,17.321,0.04204,,,,,
2020-01-20 00:00:00+00:00,8644.33,166.85,57.22,,,,8.6822,,17.3027,0.04393,,,,,
2020-01-21 00:00:00+00:00,8754.88,169.19,57.56,,,,8.9143,,18.1167,0.04622,,,,,
2020-01-22 00:00:00+00:00,8670.36,168.22,58.28,,,,9.2889,,17.8143,0.04582,,,,,
2020-01-23 00:00:00+00:00,8414.87,162.9,54.46,,,,8.4576,,17.0816,0.04346,,,,,
2020-01-24 00:00:00+00:00,8451.96,162.34,54.66,,,,8.582,,17.0272,0.04496,,,,,
2020-01-25 00:00:00+00:00,8344.78,160.63,53.2,,,,8.3871,,16.9378,0.04316,,,,,
2020-01-26 00:00:00+00:00,8612.12,167.85,55.89,,,,9.1539,,17.4624,0.04434,,,,,
2020-01-27 00:00:00+00:00,8914.11,170.28,58.57,,,,10.3977,,17.6844,0.04797,,,,,
2020-01-28 00:00:00+00:00,9380.14,175.91,60.59,,,,11.4458,,18.0514,0.05298,,,,,
2020-01-29 00:00:00+00:00,9300.85,173.86,60.0,,,,12.2521,,17.9334,0.0535,,,,,
2020-01-30 00:00:00+00:00,9526.47,184.41,68.18,,,,12.2865,,18.5883,0.05628,,,,,
2020-01-31 00:00:00+00:00,9352.98,179.53,67.66,,,,11.2735,,18.1224,0.05394,,,,,
2020-02-01 00:00:00+00:00,9388.81,183.75,70.86,,,,11.5521,,18.2375,0.05621,,,,,
2020-02-02 00:00:00+00:00,9332.83,188.65,69.96,,,,11.4209,,18.4342,0.05566,,,,,
2020-02-03 00:00:00+00:00,9299.8,190.15,69.67,,,,11.8389,,18.4649,0.05704,,,,,
2020-02-04 00:00:00+00:00,9195.95,189.06,68.04,,,,11.4264,,18.1488,0.0561,,,,,
2020-02-05 00:00:00+00:00,9610.31,203.85,72.75,,,,12.358,,19.2642,0.05932,,,,,
2020-02-06 00:00:00+00:00,9766.99,213.28,73.57,,,,12.1471,,20.6531,0.06007,,,,,
2020-02-07 00:00:00+00:00,9815.0,223.52,74.36,,,,11.7354,,22.0819,0.05998,,,,,
2020-02-08 00:00:00+00:00,9903.38,223.44,76.6,,,,11.7,,21.8083,0.06029,,,,,
2020-02-09 00:00:00+00:00,10153.53,228.16,77.0,,,,11.658,,24.2821,0.06193,,,,,
2020-02-10 00:00:00+00:00,9850.16,223.3,74.15,,,,11.8609,,25.1091,0.06038,,,,,
2020-02-11 00:00:00+00:00,10228.72,237.19,76.52,,,,11.9738,,25.6849,0.06332,,,,,
2020-02-12 00:00:00+00:00,10348.98,265.53,81.26,,,,12.2573,,26.4496,0.06824,,,,,
2020-02-13 00:00:00+00:00,10217.13,268.96,80.26,,,,12.0608,,25.4795,0.06872,,,,,
2020-02-14 00:00:00+00:00,10344.17,285.68,83.1,,,,11.9905,,26.2998,0.0708,,,,,
2020-02-15 00:00:00+00:00,9898.96,265.05,76.58,,,,10.3843,,24.1797,0.06373,,,,,
2020-02-16 00:00:00+00:00,9928.33,259.15,74.78,,,,9.6237,,23.3555,0.06187,,,,,
2020-02-17 00:00:00+00:00,9708.77,267.94,73.19,,,,9.6044,,23.4736,0.06012,,,,,
2020-02-18 00:00:00+00:00,10158.14,282.08,77.12,,,,9.8407,,24.0926,0.06275,,,,,
2020-02-19 00:00:00+00:00,9601.99,258.8,70.75,,,,8.8457,,22.3708,0.05748,,,,,
2020-02-20 00:00:00+00:00,9608.23,257.81,69.52,,,,8.9056,,22.2896,0.05801,,,,,
2020-02-21 00:00:00+00:00,9670.0,266.54,73.67,,,,9.4732,,22.1238,0.05882,,,,,
2020-02-22 00:00:00+00:00,9664.01,261.81,74.82,,,,9.4302,,21.9733,0.05803,,,,,
2020-02-23 00:00:00+00:00,9949.57,274.94,79.6,,,,9.7853,,22.7969,0.0616,,,,,
2020-02-24 00:00:00+00:00,9657.21,265.83,75.96,,,,9.3726,,22.0515,0.05896,,,,,
2020-02-25 00:00:00+00:00,9319.74,246.36,70.9,,,,9.3125,,20.2964,0.05652,,,,,
2020-02-26 00:00:00+00:00,8790.39,223.91,60.89,,,,7.6648,,18.7476,0.04939,,,,,
2020-02-27 00:00:00+00:00,8802.94,227.26,61.7,,,,7.6886,,19.1524,0.04989,,,,,
2020-02-28 00:00:00+00:00,8694.33,226.66,60.02,,,,7.4592,,18.9839,0.04897,,,,,
2020-02-29 00:00:00+00:00,8528.54,216.95,58.1,,,,7.3824,,19.2533,0.04716,,,,,
2020-03-01 00:00:00+00:00,8545.65,218.0,57.75,,,,7.6889,,18.9263,0.0457,,,,,
2020-03-02 00:00:00+00:00,8900.76,231.49,61.35,,,,8.4322,,19.8901,0.04914,,,,,
2020-03-03 00:00:00+00:00,8758.86,223.78,60.98,,,,8.4595,,19.6617,0.04891,,,,,
2020-03-04 00:00:00+00:00,8748.23,224.21,60.06,,,,7.9328,,19.9795,0.04896,,,,,
2020-03-05 00:00:00+00:00,9062.79,228.6,62.05,,,,8.1397,,20.7954,0.05067,,,,,
2020-03-06 00:00:00+00:00,9140.03,245.3,63.24,,,,8.1912,,21.3444,0.0517,,,,,
2020-03-07 00:00:00+00:00,8886.71,236.79,60.37,,,,7.8118,,20.0784,0.04887,,,,,
2020-03-08 00:00:00+00:00,8036.46,199.0,50.98,,,,6.4152,,16.8647,0.0427,,,,,
2020-03-09 00:00:00+00:00,7939.79,202.94,50.44,,,,6.9008,,16.5932,0.0409,,,,,
2020-03-10 00:00:00+00:00,7888.99,200.44,50.1,,,,6.8226,,16.8402,0.04149,,,,,
2020-03-11 00:00:00+00:00,7926.4,194.49,48.38,,,,6.5965,,16.494,0.03952,,,,,
2020-03-12 00:00:00+00:00,4824.58,108.65,29.88,,,,3.7482,,9.2418,0.02286,,,,,
2020-03-13 00:00:00+00:00,5582.5,133.27,37.5,,,,4.7899,,10.6938,0.02858,,,,,
2020-03-14 00:00:00+00:00,5169.45,122.3,34.38,,,,4.6262,,10.176,0.0259,,,,,
2020-03-15 00:00:00+00:00,5365.04,123.7,36.54,,,,5.044,,10.4865,0.02724,,,,,
2020-03-16 00:00:00+00:00,5023.0,110.4,33.2,,,,4.4374,,9.3694,0.02411,,,,,
2020-03-17 00:00:00+00:00,5320.37,116.17,34.79,,,,4.6606,,10.2773,0.02604,,,,,
2020-03-18 00:00:00+00:00,5390.21,117.95,34.6,,,,4.6023,,10.3432,0.02594,,,,,
2020-03-19 00:00:00+00:00,6179.03,136.75,38.89,,,,5.05,,12.2492,0.0303,,,,,
2020-03-20 00:00:00+00:00,6205.0,132.8,37.57,,,,4.8394,,11.8746,0.02929,,,,,
2020-03-21 00:00:00+00:00,6165.0,132.4,38.18,,,,5.0665,,12.0818,0.02933,,,,,
2020-03-22 00:00:00+00:00,5818.52,122.34,35.43,,,,4.6011,,11.1405,0.02709,,,,,
2020-03-23 00:00:00+00:00,6481.71,135.97,38.89,,,,4.9142,,12.1644,0.0291,,,,,
2020-03-24 00:00:00+00:00,6749.94,138.67,40.75,,,,5.1035,,12.4029,0.03023,,,,,
2020-03-25 00:00:00+00:00,6695.91,136.27,39.09,,,,5.0192,,12.3194,0.0293,,,,,
2020-03-26 00:00:00+00:00,6734.11,138.36,39.78,,,,5.0947,,13.1537,0.03079,,,,,
2020-03-27 00:00:00+00:00,6365.87,131.21,38.04,,,,4.9415,,12.324,0.02881,,,,,
2020-03-28 00:00:00+00:00,6243.16,131.03,38.66,,,,4.8141,,12.181,0.02984,,,,,
2020-03-29 00:00:00+00:00,5876.82,124.5,37.33,,,,4.8534,,11.3219,0.02829,,,,,
2020-03-30 00:00:00+00:00,6386.47,132.05,38.95,,,,4.9433,,12.126,0.02969,,,,,
2020-03-31 00:00:00+00:00,6434.43,132.85,39.32,,,,4.9505,,12.5681,0.03051,,,,,
